slope,measured,predicted
20.7577,11.5932,22.735836315155
19.3984,9.75098,20.1899696350098
15.4902,7.04533,17.4641016483307
13.211,,3.23294,9.57830371856689
10.5991,2.32915,11.4227909088135
12.6545,2.27194,11.0419271945953
14.6709,5.43642,11.7817028522491
17.2534,5.52268,15.6341461658478
14.5657,2.75033,12.3629097938538
15.4983,9.19471,16.1379063606262
24.3473,13.0101,22.5147401809692
27.0427,14.6238,19.8948588371277
22.6372,9.91874,19.3488464832306
20.9948,9.79197,22.7589304924011
18.9721,8.82564,17.3134434700012
22.986,,10.6232,23.3686730384827
16.1711,6.27904,12.9252152919769
17.1175,4.02216,14.3483370780945
13.3605,4.6831,,11.3320744514465
14.51,,,5.99782,11.2990419864655
18.936,,6.24021,16.6464434146881
14.2741,4.81281,13.1012187957764
22.117,,11.0265,21.2938687324524
22.4798,11.045,,17.572705078125
26.9781,8.60381,17.9880548477173
23.9507,11.266,,23.1390192985535
19.0747,11.7395,18.4006837368011
20.3498,8.74052,15.3293543338776
19.5316,8.42326,18.729686832428
25.4032,11.3115,17.8449358940125
22.6549,11.1354,22.4543874740601
27.5858,18.5268,21.6477824211121
24.413,,10.8944,24.4826012611389
20.5625,6.08853,13.8910885334015
22.5412,6.21558,16.7794250965118
23.6087,9.10459,15.8887716293335
21.3314,9.13076,24.12425365448
17.4766,6.18715,14.4030914306641
20.1856,8.97124,18.779571390152
19.712,,8.31462,20.1394510269165
18.0573,6.03774,13.2051601886749
24.9178,7.85529,20.5394912719727
24.8686,10.2819,20.6662682533264
25.2773,6.88056,20.0976797103882
24.3636,9.57647,19.6417564868927
28.3021,7.63053,20.4532677650452
21.0528,9.05213,17.7144448280334
16.369,,5.6268,,14.6545636177063
14.1768,6.12552,14.6797522068024
8.78061,3.5294,,8.23020203113556
7.80153,2.68397,9.50161604881287
7.37376,3.7225,,11.3357808113098
24.2572,19.3718,22.9197441101074
11.0601,7.21063,13.339580821991
26.745,,23.3669,25.627801322937
20.0253,17.8259,20.6977921485901
12.5252,9.97154,15.9106188774109
19.0034,16.983,,20.7912466049194
16.7585,13.9798,22.7712755203247
24.5691,23.5303,25.6058562278748
23.4133,21.3712,25.1259371757507
26.1655,23.5424,26.6237197875977
19.7241,18.2127,23.3259341239929
27.3931,23.3618,25.8590579986572
19.4018,12.4069,21.5317786216736
29.5194,25.426,,25.1083438873291
17.1956,8.87885,15.7306840896606
23.0131,13.3869,21.8092599868774
12.4722,7.62933,12.1577608108521
20.9107,17.4208,23.8275494575501
15.9965,9.22881,17.5103407859802
21.0485,15.9498,24.2166491508484
18.3372,12.9523,19.3576870918274
20.8885,11.1557,23.154248046875
21.3004,13.6146,19.6417240619659
20.8654,10.7056,21.9296192169189
26.6582,14.3959,21.614560508728
19.3265,8.38252,10.7933533668518
25.5502,14.9857,17.2487510681152
17.9593,7.1302,,14.3409337043762
10.5931,3.24817,10.0485636234283
12.1518,3.44769,9.79266953468323
13.549,,3.5318,,14.2120517253876
9.12597,1.3325,,10.5727009773254
8.74622,2.50181,8.59188833236694
13.9191,4.52848,11.5640837192535
8.47571,5.04126,9.91291735172272
10.6276,6.00115,12.4534446239471
10.0192,6.37622,11.6968047142029
13.3335,5.80749,13.8173931598663
13.6067,8.98206,15.0288938045502
12.29,,,8.34666,12.0893077850342
23.0461,16.2793,23.0581122398376
21.1311,14.9093,21.719890499115
26.2192,12.6432,21.6202036857605
12.0181,3.16889,10.9736563682556
19.8946,4.50259,16.2034634113312
15.9518,4.69531,13.2353067398071
21.123,,6.88825,15.1580032348633
23.0396,9.6579,,14.0357815265656
11.5664,2.99394,11.2988805770874
14.1042,3.43987,12.0655589580536
10.3775,1.9402,,10.5997065067291
12.2325,2.11188,10.5803906917572
14.0754,6.47279,12.6568923473358
22.8516,8.59659,20.9991808891296
24.557,,9.37579,23.0701378822327
19.7342,9.82017,19.5478769302368
9.79013,4.58875,11.4381715297699
12.3017,7.32583,11.339591550827
8.23147,5.19344,10.0547103643417
11.763,,8.27692,12.1711483478546
21.6473,7.17459,19.9027130126953
24.1297,13.2353,21.4909546852112
23.0976,8.12555,18.2187665462494
21.6615,8.87408,10.7751421928406
15.6014,3.91192,11.9116039276123
19.2329,6.92274,17.7887223243713
16.3995,4.68328,12.7145351886749
17.7614,6.74241,14.8039381027222
22.5823,7.6571,,14.394860458374
28.4586,16.1203,24.5613968849182
19.7668,14.8875,24.7183716773987
19.1296,10.7811,17.4289249420166
9.03062,4.48399,11.0754331588745
19.8694,11.0042,20.1858748912811
15.5348,6.00044,15.8064758300781
24.9366,6.91608,15.5690887928009
22.0218,9.47283,18.7495775699616
12.732,,3.47935,11.1357213497162
10.3327,3.222,,,11.1312489509583
16.3317,8.01779,20.2363218307495
6.62356,2.50165,7.74209237098694
14.5182,9.68316,14.6373071193695
11.2601,4.09543,8.85398709774017
14.363,,6.38681,15.6126126766205
9.1787,,5.07438,12.7980375289917
13.7881,8.5129,,13.2882252216339
10.6045,7.29409,11.5708158969879
11.5696,7.5152,,13.1385650634766
13.4816,11.1645,16.8639754295349
23.2983,18.1043,22.6540997505188
24.3718,18.5535,26.1330585479736
21.1575,19.0255,23.4163473129272
32.474,,23.5753,27.0789779663086
30.5934,22.9203,24.8147391319275
25.2735,10.0636,23.6239925384521
23.4872,6.35418,20.3661947250366
22.7293,9.73292,17.8212614536285
18.1019,10.0541,17.0722335338593
15.3628,9.98787,21.512731552124
15.7961,13.4118,19.0745060920715
19.2494,15.1366,20.2630770683289
16.7935,13.6121,19.6643162250519
23.406,,11.7152,19.0669442176819
29.4149,16.2464,22.4951826095581
22,,13.0096,22.6053095817566
30.7617,25.0919,22.3771034240723
23.3372,22.3321,24.2450432777405
21.9593,20.1511,21.1080458641052
10.834,,5.52771,11.3087346553802
10.6881,5.95229,10.9757537841797
7.45925,2.51579,7.97996950149536
8.85363,2.5984,,11.4413257598877
6.72004,1.98931,9.22035114765167
19.1296,6.84173,13.0221652507782
10.9435,4.54958,10.8588719367981
7.94331,1.03341,9.68433256149292
8.44922,1.72965,10.1320204257965
6.64278,0.873714,,,,9.73718736171722
7.19561,2.60369,8.85609624385834
8.83612,2.27998,9.93128633499146
8.11355,1.39133,10.3731214046478
8.69817,1.00231,9.92568769454956
6.743,,,0.919368,,,,9.59582545757294
8.6166,,0.567818,,,,9.52050170898438
8.9174,,2.06604,9.47396399974823
8.77423,1.34065,9.64303722381592
20.7129,7.8275,,14.3187243938446
7.1305,,1.32443,9.78930253982544
19.9036,11.5085,11.7874473571777
6.72836,2.04796,8.95458300113678
8.96773,1.23085,9.999769115448
9.16236,2.2041,,10.3704356193542
7.61987,1.29281,10.0370509624481
8.41432,1.06836,9.72879540920258
6.80963,1.04425,9.77101449966431
8.46011,2.76149,9.353844165802
8.93517,1.20422,10.0477846860886
8.47317,1.03858,9.87607908248901
6.34796,0.887854,,,,9.35485854148865
7.94318,1.14629,9.63151519298554
7.49244,1.74076,9.95199241638184
8.93031,2.78431,11.2591463565826
6.93113,1.5214,,8.92722496986389
8.4894,,1.43929,9.28731164932251
6.88411,1.38394,9.99047431945801
10.2847,4.40905,9.35872030258179
8.32333,1.4262,,9.61188013553619
8.52453,1.11635,9.9918128490448
7.22407,1.42195,9.64475889205933
8.67726,1.1196,,9.77440929412842
