key,length[m],transformation,mean_error,std_error
valid,24.0,none,1.7979250311114459,0
valid,36.0,none,1.820759754795527,0
valid,4.0,none,1.9282687471001831,0
valid,44.0,none,2.038922269173272,0
valid,44.0,none,2.0268057682527973,0
valid,48.0,none,1.8956725894458757,0
valid,5.0,none,1.7342592749878711,0
valid,4.0,none,1.9866188102875988,0
valid,200.0,none,3.373897315436653,0
valid,12.0,none,1.9395617554069995,0
valid,80.0,none,2.4034814453568503,0
valid,16.0,none,1.8292804109902954,0
valid,80.0,none,2.255169021124401,0
valid,3.0,none,2.460462760064207,0
valid,200.0,none,3.37357422137996,0
valid,6.0,none,1.807962845528028,0
valid,20.0,none,1.8335936168356963,0
valid,48.0,none,1.878805071373739,0
valid,16.0,none,1.8239143916396536,0
valid,16.0,none,1.8191733549261504,0
valid,200.0,none,3.3514951862144624,0
valid,44.0,none,2.239836300967678,0
valid,200.0,none,3.7076246333848553,0
valid,2.0,none,3.542568710747016,0
valid,3.0,none,2.444875155864234,0
valid,64.0,none,1.9953056587291749,0
valid,44.0,none,2.0681628240144203,0
valid,10.0,none,1.6447515438055726,0
valid,24.0,none,1.783127571602177,0
valid,40.0,none,1.8702846939624669,0
valid,8.0,none,1.6574937982262277,0
valid,12.0,none,1.8081415952987807,0
valid,36.0,none,1.8053830698819953,0
valid,12.0,none,2.0764602900810787,0
valid,96.0,none,2.8777278872502854,0
valid,20.0,none,1.8242506744774836,0
valid,16.0,none,1.887198693896107,0
valid,96.0,none,2.630360424772801,0
valid,96.0,none,2.6998774046239906,0
valid,44.0,none,1.9417177633343374,0
valid,200.0,none,3.5172527317159124,0
valid,20.0,none,1.7461101116465136,0
valid,32.0,none,1.6796701772932756,0
valid,20.0,none,1.8009402558454843,0
valid,5.0,none,1.8486364279620295,0
valid,5.0,none,1.7695971245569628,0
valid,32.0,none,1.693870265214408,0
valid,28.0,none,1.6516276302677584,0
valid,28.0,none,1.740329948848316,0
valid,2.0,none,3.268244675038294,0
valid,48.0,none,1.8170420549951423,0
valid,4.0,none,1.878232352839855,0
valid,28.0,none,1.8939731376265698,0
valid,16.0,none,1.8989939758535916,0
valid,24.0,none,1.9616867624765748,0
valid,20.0,none,1.7939603132903972,0
valid,32.0,none,1.848660910180058,0
valid,200.0,none,3.397683267476665,0
valid,12.0,none,1.730919128005643,0
valid,28.0,none,1.6805357994451902,0
valid,64.0,none,2.0361649749891355,0
valid,96.0,none,2.6491331763219472,0
valid,4.0,none,1.8492333306785396,0
valid,80.0,none,2.1953188410982607,0
valid,28.0,none,2.0607620611690094,0
valid,8.0,none,1.658595737820264,0
valid,128.0,none,5.008978423316507,0
valid,48.0,none,1.8086891792983515,0
valid,96.0,none,2.5899855970024,0
valid,24.0,none,1.800377537322788,0
valid,6.0,none,1.8228055560085585,0
valid,40.0,none,1.9921398584346486,0
valid,8.0,none,1.6551306688184464,0
valid,40.0,none,1.9143285274529303,0
valid,8.0,none,1.7935168173518787,0
valid,64.0,none,2.104958939572931,0
valid,10.0,none,1.6716200761849944,0
valid,64.0,none,2.1052627318039177,0
valid,40.0,none,1.9236422879157407,0
valid,8.0,none,1.7481480445258575,0
valid,40.0,none,1.878516063549372,0
valid,80.0,none,2.274975405173263,0
valid,10.0,none,1.7026268863396223,0
valid,48.0,none,2.087377828201222,0
valid,10.0,none,1.7162293941932845,0
valid,2.0,none,3.245859102246904,0
valid,96.0,none,2.546354253209436,0
valid,6.0,none,1.736215043525341,0
valid,80.0,none,2.4616730210088478,0
valid,128.0,none,4.970934949941474,0
valid,24.0,none,1.838447028386092,0
valid,5.0,none,1.814779865367783,0
valid,0.0,none,3.8555452085271087,0
valid,28.0,none,1.7859393789561102,0
valid,0.0,none,3.6668082442438448,0
valid,6.0,none,1.7709533812347775,0
valid,5.0,none,1.7912587375904783,0
valid,128.0,none,5.136968439251208,0
valid,8.0,none,1.7207129645903192,0
valid,12.0,none,1.7191386579028751,0
valid,0.0,none,3.796571642846567,0
valid,32.0,none,1.6868202418100942,0
valid,20.0,none,1.8191665986942613,0
valid,36.0,none,1.8228230348922485,0
valid,2.0,none,3.283250754585892,0
valid,48.0,none,2.1528392236933223,0
valid,10.0,none,1.6381291973650536,0
valid,2.0,none,3.2201613204721786,0
valid,64.0,none,2.0214887811253055,0
valid,3.0,none,2.4162933793351047,0
valid,12.0,none,1.8377155949323591,0
valid,36.0,none,1.87235631454896,0
valid,128.0,none,5.06014582188606,0
valid,2.0,none,3.316034088522256,0
valid,16.0,none,1.7473527521711343,0
valid,3.0,none,2.51545671520925,0
valid,0.0,none,3.6236535528897162,0
valid,4.0,none,1.8167278240042184,0
valid,6.0,none,1.7337428440141318,0
valid,128.0,none,4.891805860187769,0
valid,24.0,none,1.803926686899623,0
valid,3.0,none,2.504186329483915,0
valid,48.0,none,2.0039957804674704,0
valid,12.0,none,1.7412659966136521,0
valid,64.0,none,2.0246210236096185,0
valid,0.0,none,3.6479292613697063,0
valid,128.0,none,5.085729431683736,0
valid,20.0,none,1.7975769682884928,0
valid,32.0,none,2.124246264826466,0
valid,44.0,none,1.961023139325264,0
valid,4.0,none,1.9190120791571117,0
valid,40.0,none,1.8527902570126462,0
valid,80.0,none,2.224170756582398,0
valid,10.0,none,1.696585045186806,0
valid,32.0,none,1.6768320282892164,0
valid,16.0,none,1.8361524822458812,0
valid,4.0,none,1.8502184053431565,0
