key,length[m],transformation,mean_error,std_error
valid,24.0,exponential,2.122979865887638,0
valid,36.0,exponential,2.4520776256807766,0
valid,4.0,exponential,1.913872950521475,0
valid,44.0,exponential,2.184005570662526,0
valid,44.0,exponential,2.1952409263739643,0
valid,48.0,exponential,2.0642806251204218,0
valid,5.0,exponential,1.919164639536507,0
valid,4.0,exponential,2.0758365392317923,0
valid,200.0,exponential,3.41277729192667,0
valid,12.0,exponential,1.9258810746003285,0
valid,80.0,exponential,2.6308465089830295,0
valid,16.0,exponential,1.8971464076185345,0
valid,80.0,exponential,2.4989625538790676,0
valid,3.0,exponential,2.1505897407054597,0
valid,200.0,exponential,3.5155839393106403,0
valid,6.0,exponential,1.8395962375135566,0
valid,20.0,exponential,2.0841910482119625,0
valid,48.0,exponential,2.0995495501370818,0
valid,16.0,exponential,2.1061618557307433,0
valid,16.0,exponential,2.0651311718785754,0
valid,200.0,exponential,3.455549773531163,0
valid,44.0,exponential,2.2983431512223107,0
valid,200.0,exponential,4.040262792075544,0
valid,2.0,exponential,3.5050495887662794,0
valid,3.0,exponential,1.9855620153299316,0
valid,64.0,exponential,2.4038652005686716,0
valid,44.0,exponential,5.456833060847065,0
valid,10.0,exponential,2.098532753095032,0
valid,24.0,exponential,1.9760971442810311,0
valid,40.0,exponential,2.0245963651297356,0
valid,8.0,exponential,1.8877450095741017,0
valid,112.0,exponential,3.8150442428084506,0
valid,12.0,exponential,2.1525278207575163,0
valid,36.0,exponential,2.166422902615658,0
valid,12.0,exponential,1.8760396070542824,0
valid,96.0,exponential,2.8295736467168116,0
valid,20.0,exponential,2.1117212343773537,0
valid,16.0,exponential,1.9239535265250565,0
valid,96.0,exponential,3.014295263715138,0
valid,96.0,exponential,2.7486196544516392,0
valid,44.0,exponential,2.4083499245501487,0
valid,200.0,exponential,3.692351980917899,0
valid,20.0,exponential,2.042957462172619,0
valid,32.0,exponential,1.8871692737949737,0
valid,20.0,exponential,1.9733606825556955,0
valid,5.0,exponential,2.024747628820538,0
valid,5.0,exponential,1.9978027162412022,0
valid,32.0,exponential,1.8893303603664142,0
valid,28.0,exponential,1.9047147562603537,0
valid,28.0,exponential,1.849775461741451,0
valid,2.0,exponential,3.6849171676474235,0
valid,48.0,exponential,2.109021141942556,0
valid,4.0,exponential,1.9445973568308412,0
valid,28.0,exponential,1.9221769280787986,0
valid,16.0,exponential,2.0731035291034456,0
valid,24.0,exponential,2.095673940930518,0
valid,20.0,exponential,2.026096042264074,0
valid,32.0,exponential,1.8815425241338908,0
valid,200.0,exponential,3.4653969038163974,0
valid,12.0,exponential,1.9346851191355576,0
valid,28.0,exponential,2.3172125791588623,0
valid,64.0,exponential,2.55288308387095,0
valid,96.0,exponential,2.649298735771697,0
valid,4.0,exponential,1.9152396856161813,0
valid,80.0,exponential,2.8599919554665445,0
valid,28.0,exponential,2.1891769715732607,0
valid,8.0,exponential,1.9679741556793446,0
valid,128.0,exponential,5.44482490654389,0
valid,48.0,exponential,2.2870672759053727,0
valid,96.0,exponential,2.73323782046708,0
valid,24.0,exponential,2.054210709867461,0
valid,6.0,exponential,1.9025803124592122,0
valid,40.0,exponential,1.9658462224671125,0
valid,8.0,exponential,1.8596968985582465,0
valid,40.0,exponential,2.064316796469471,0
valid,8.0,exponential,1.965096712921222,0
valid,64.0,exponential,2.3475382256850117,0
valid,10.0,exponential,1.9166311084001715,0
valid,64.0,exponential,2.5436701686885637,0
valid,40.0,exponential,2.097122379517569,0
valid,8.0,exponential,1.81532731918717,0
valid,40.0,exponential,2.0309520502453,0
valid,80.0,exponential,2.5857545479275004,0
valid,10.0,exponential,1.978692413010503,0
valid,48.0,exponential,2.134267382646326,0
valid,10.0,exponential,1.8007982233632012,0
valid,2.0,exponential,3.622031550829263,0
valid,96.0,exponential,2.778747797469898,0
valid,6.0,exponential,1.881485483162161,0
valid,80.0,exponential,2.3296404801078086,0
valid,128.0,exponential,5.3791132639697965,0
valid,24.0,exponential,2.2921227557978976,0
valid,5.0,exponential,1.8513891489307328,0
valid,0.0,exponential,4.341788383739339,0
